s_id.label,subject.label,session.label,task.label,meanData,Score1,Score2
1,subject01,Session 1,Cutting,0.006641466,18,20
1,subject01,Session 1,Suturing,0.007071885,13,15
1,subject01,Session 2,Cutting,0.009799286,22,18
1,subject01,Session 2,Suturing,0.009510659,15,13
1,subject01,Session 3,Cutting,0.006973837,23,23
1,subject01,Session 3,Suturing,0.008018788,16,17
1,subject01,Session 4,Cutting,,22,23
1,subject01,Session 4,Suturing,0.007459585,17,18
1,subject01,Session 5,Cutting,0.012146963,22,23
1,subject01,Session 5,Suturing,,15,17
2,subject02,Session 1,Cutting,0.007648563,17,19
2,subject02,Session 1,Suturing,0.007936054,15,17
2,subject02,Session 2,Cutting,0.0065465,19,20
2,subject02,Session 2,Suturing,0.007762063,16,19
2,subject02,Session 3,Cutting,0.008342573,22,23
2,subject02,Session 3,Suturing,0.007556647,16,14
2,subject02,Session 4,Cutting,0.006547132,23,21
2,subject02,Session 4,Suturing,0.005783802,19,21
2,subject02,Session 5,Cutting,0.006128214,24,22
2,subject02,Session 5,Suturing,0.005889838,20,21
3,subject03,Session 1,Cutting,0.005252265,19,17
3,subject03,Session 1,Suturing,0.005538023,18,17
3,subject03,Session 2,Cutting,0.009439193,22,23
3,subject03,Session 2,Suturing,,20,22
3,subject03,Session 3,Cutting,0.006829193,24,25
3,subject03,Session 3,Suturing,0.007919557,26,23
3,subject03,Session 4,Cutting,0.009259306,24,25
3,subject03,Session 4,Suturing,0.008798202,24,25
3,subject03,Session 5,Cutting,0.008691801,25,24
3,subject03,Session 5,Suturing,0.007939287,23,23
4,subject04,Session 1,Cutting,0.007017752,14,12
4,subject04,Session 1,Suturing,0.007852358,12,11
4,subject04,Session 2,Cutting,0.006809658,14,12
4,subject04,Session 2,Suturing,0.006253776,18,17
4,subject04,Session 3,Cutting,0.008003477,15,14
4,subject04,Session 3,Suturing,0.006595153,19,22
4,subject04,Session 4,Cutting,0.007506992,14,15
4,subject04,Session 4,Suturing,0.007656514,22,24
4,subject04,Session 5,Cutting,0.007997844,15,19
4,subject04,Session 5,Suturing,0.007923086,22,25
5,subject05,Session 1,Cutting,0.005445922,,
5,subject05,Session 1,Suturing,0.005584497,,
5,subject05,Session 2,Cutting,0.00568694,,
5,subject05,Session 2,Suturing,0.005568067,,
5,subject05,Session 3,Cutting,0.006486685,,
5,subject05,Session 3,Suturing,0.006602876,,
5,subject05,Session 4,Cutting,,,
5,subject05,Session 4,Suturing,,,
5,subject05,Session 5,Cutting,,,
5,subject05,Session 5,Suturing,,,
6,subject06,Session 1,Cutting,0.013861976,,
6,subject06,Session 1,Suturing,0.010540468,,
6,subject06,Session 2,Cutting,,,
6,subject06,Session 2,Suturing,,,
6,subject06,Session 3,Cutting,,,
6,subject06,Session 3,Suturing,,,
6,subject06,Session 4,Cutting,,,
6,subject06,Session 4,Suturing,,,
6,subject06,Session 5,Cutting,,,
6,subject06,Session 5,Suturing,,,
7,subject07,Session 1,Cutting,0.005943591,23,25
7,subject07,Session 1,Suturing,0.007553288,22,23
7,subject07,Session 2,Cutting,0.005248217,28,24
7,subject07,Session 2,Suturing,0.004675785,25,25
7,subject07,Session 3,Cutting,0.006460174,29,28
7,subject07,Session 3,Suturing,0.021923313,27,24
7,subject07,Session 4,Cutting,0.006820336,28,27
7,subject07,Session 4,Suturing,0.008528037,29,28
7,subject07,Session 5,Cutting,0.006462659,25,23
7,subject07,Session 5,Suturing,0.007076777,23,27
8,subject08,Session 1,Cutting,,19,21
8,subject08,Session 1,Suturing,,9,10
8,subject08,Session 2,Cutting,0.00604693,22,20
8,subject08,Session 2,Suturing,0.006458208,21,20
8,subject08,Session 3,Cutting,0.005561151,24,25
8,subject08,Session 3,Suturing,0.006857432,22,26
8,subject08,Session 4,Cutting,0.006693889,28,25
8,subject08,Session 4,Suturing,0.006690486,28,29
8,subject08,Session 5,Cutting,0.007372626,27,25
8,subject08,Session 5,Suturing,0.006629658,27,28
9,subject09,Session 1,Cutting,0.006892831,,
9,subject09,Session 1,Suturing,0.006251784,,
9,subject09,Session 2,Cutting,0.006304969,,
9,subject09,Session 2,Suturing,0.007186703,,
9,subject09,Session 3,Cutting,,,
9,subject09,Session 3,Suturing,,,
9,subject09,Session 4,Cutting,,,
9,subject09,Session 4,Suturing,,,
9,subject09,Session 5,Cutting,,,
9,subject09,Session 5,Suturing,,,
10,subject10,Session 1,Cutting,0.006620019,14,13
10,subject10,Session 1,Suturing,0.007238401,10,13
10,subject10,Session 2,Cutting,,16,17
10,subject10,Session 2,Suturing,0.007451626,12,14
10,subject10,Session 3,Cutting,0.008196846,18,19
10,subject10,Session 3,Suturing,0.007558624,13,18
10,subject10,Session 4,Cutting,0.007729419,19,24
10,subject10,Session 4,Suturing,0.008148792,14,19
10,subject10,Session 5,Cutting,,18,21
10,subject10,Session 5,Suturing,,15,21
11,subject11,Session 1,Cutting,0.00618258,11,10
11,subject11,Session 1,Suturing,0.006990079,14,17
11,subject11,Session 2,Cutting,0.006173841,14,12
11,subject11,Session 2,Suturing,0.006669412,17,21
11,subject11,Session 3,Cutting,0.011746738,15,14
11,subject11,Session 3,Suturing,0.010632343,18,23
11,subject11,Session 4,Cutting,0.009856716,13,19
11,subject11,Session 4,Suturing,0.008491748,20,22
11,subject11,Session 5,Cutting,0.007499978,16,16
11,subject11,Session 5,Suturing,0.007362815,23,20
12,subject12,Session 1,Cutting,0.007746743,15,16
12,subject12,Session 1,Suturing,0.008295005,11,10
12,subject12,Session 2,Cutting,0.007531675,18,20
12,subject12,Session 2,Suturing,0.00684951,15,16
12,subject12,Session 3,Cutting,0.008561239,23,25
12,subject12,Session 3,Suturing,0.008620974,18,20
12,subject12,Session 4,Cutting,0.009219518,27,25
12,subject12,Session 4,Suturing,0.008775202,20,22
12,subject12,Session 5,Cutting,0.009830742,28,24
12,subject12,Session 5,Suturing,0.007904935,24,21
13,subject13,Session 1,Cutting,0.006514194,18,19
13,subject13,Session 1,Suturing,0.00655794,13,15
13,subject13,Session 2,Cutting,0.005741809,17,20
13,subject13,Session 2,Suturing,0.006327294,16,15
13,subject13,Session 3,Cutting,0.005092271,25,23
13,subject13,Session 3,Suturing,0.004679217,19,19
13,subject13,Session 4,Cutting,0.004842727,25,22
13,subject13,Session 4,Suturing,0.005303931,17,18
13,subject13,Session 5,Cutting,0.007661869,29,25
13,subject13,Session 5,Suturing,0.008613481,19,17
19,subject19,Session 1,Cutting,0.007082172,19,20
19,subject19,Session 1,Suturing,0.003377408,12,16
19,subject19,Session 2,Cutting,0.007673489,23,24
19,subject19,Session 2,Suturing,0.006350764,22,24
19,subject19,Session 3,Cutting,0.008039198,24,26
19,subject19,Session 3,Suturing,0.00665644,23,27
19,subject19,Session 4,Cutting,0.007106913,27,27
19,subject19,Session 4,Suturing,0.007715197,25,24
19,subject19,Session 5,Cutting,0.008316978,27,28
19,subject19,Session 5,Suturing,0.008229919,27,27
20,subject20,Session 1,Cutting,0.005955645,,
20,subject20,Session 1,Suturing,0.006598203,,
20,subject20,Session 2,Cutting,,,
20,subject20,Session 2,Suturing,,,
20,subject20,Session 3,Cutting,,,
20,subject20,Session 3,Suturing,,,
20,subject20,Session 4,Cutting,,,
20,subject20,Session 4,Suturing,,,
20,subject20,Session 5,Cutting,,,
20,subject20,Session 5,Suturing,,,
21,subject21,Session 1,Cutting,0.006957866,20,18
21,subject21,Session 1,Suturing,0.007120722,13,17
21,subject21,Session 2,Cutting,0.009289895,24,21
21,subject21,Session 2,Suturing,0.008347064,17,19
