Subject,Session,BL PP,CUT PP,CUT NASA,SUT PP,SUT NASA,MBG,MPOST,TAI,TP,Output,Performance
Subject 1,Session 1,1,1,1,1,1,1,1,1,1,0,1
Subject 1,Session 2,1,1,1,1,1,1,1,1,1,1,1
Subject 1,Session 3,1,1,1,1,1,1,1,1,1,1,1
Subject 1,Session 4,0,0,1,1,1,1,1,1,1,1,1
Subject 1,Session 5,1,1,1,0,1,1,1,1,1,1,1
Subject 2,Session 1,1,1,1,1,1,1,1,1,1,1,1
Subject 2,Session 2,1,1,1,1,1,1,1,1,1,1,1
Subject 2,Session 3,1,1,1,1,1,1,1,1,1,1,1
Subject 2,Session 4,1,1,1,1,1,1,1,1,1,1,1
Subject 2,Session 5,1,1,1,1,1,1,1,1,1,1,1
Subject 3,Session 1,1,1,1,1,1,1,1,1,1,1,1
Subject 3,Session 2,1,1,1,0,1,1,1,1,1,1,1
Subject 3,Session 3,1,1,1,1,1,1,1,1,1,1,1
Subject 3,Session 4,1,1,1,1,1,1,1,1,1,1,1
Subject 3,Session 5,1,1,1,1,1,1,1,1,1,1,1
Subject 4,Session 1,1,1,1,1,1,1,1,1,1,1,1
Subject 4,Session 2,1,1,1,1,1,1,1,1,1,1,1
Subject 4,Session 3,1,1,1,1,1,1,1,1,1,1,1
Subject 4,Session 4,1,1,1,1,1,1,1,1,1,1,1
Subject 4,Session 5,1,1,1,1,1,1,1,1,1,1,1
Subject 5,Session 1,1,1,1,1,1,1,0,1,1,1,
Subject 5,Session 2,1,1,1,1,1,1,0,1,1,1,
Subject 5,Session 3,1,1,1,1,1,1,0,1,1,0,
Subject 5,Session 4,1,1,1,1,1,1,0,1,0,0,
Subject 5,Session 5,1,1,1,1,1,1,0,1,0,0,
Subject 6,Session 1,1,1,1,1,1,1,0,1,1,1,
Subject 6,Session 2,0,0,0,0,0,0,0,0,0,0,
Subject 6,Session 3,0,0,0,0,0,0,0,0,0,0,
Subject 6,Session 4,0,0,0,0,0,0,0,0,0,0,
Subject 6,Session 5,0,0,0,0,0,0,0,0,0,0,
Subject 7,Session 1,1,1,1,1,1,1,1,1,1,1,1
Subject 7,Session 2,1,1,1,1,1,1,1,1,1,1,1
Subject 7,Session 3,1,1,1,1,1,1,1,1,1,1,1
Subject 7,Session 4,1,1,1,1,1,1,1,1,1,1,1
Subject 7,Session 5,1,1,1,1,1,1,1,1,1,1,1
Subject 8,Session 1,1,1,1,1,1,1,1,1,1,1,1
Subject 8,Session 2,1,1,1,1,1,1,1,1,1,0,1
Subject 8,Session 3,1,1,1,1,1,1,1,1,1,1,1
Subject 8,Session 4,1,1,1,1,1,1,1,1,1,1,1
Subject 8,Session 5,1,1,1,1,1,1,1,1,1,1,1
Subject 9,Session 1,1,1,1,1,1,1,0,1,1,1,
Subject 9,Session 2,1,1,1,1,1,1,0,1,1,1,
Subject 9,Session 3,0,0,0,0,0,1,0,1,0,0,
